,类型,题目,答案
19,判断题,20.国家安全机关依法查封、扣押的设备、设施，在危害国家安全的情形消除后，应当依据持有人申请，解除查封、扣押。,N
20,判断题,21.专用间谍器材由设区的市级以上国家安全机关依照国家有关规定确认。,N
21,判断题,22.所有间谍行为，都将被依法追究刑事责任。,N
22,判断题,23.所有以暴力、威胁方法阻碍国家安全机关依法执行任务的，都将被依法追究刑事责任。,Y
23,判断题,24.一切国家机关和武装力量、各政党和各社会团体及各企业事业组织，都有防范、制止间谍行为，维护国家安全的义务。,Y
24,判断题,25.国家安全机关的工作人员在依法执行紧急任务的情况下，经出示相应证件，可以优先乘坐公共交通工具，遇交通阻碍时，优先通行。,Y
25,判断题,26.国家安全机关没收的财物，一律上缴国库。,Y
26,判断题,27.国家安全机关的工作人员执行任务时，出示相应证件，可以进入限制进入的有关地区、场所、单位，查阅或者调取有关的档案、资料、物品。,N
27,判断题,28.《中华人民共和国反间谍法》，自2014年11月1日起实施。,Y
28,判断题,29.国家安全机关是反间谍工作的主管机关。,Y
29,判断题,30.国家对支持、协助反间谍工作的组织和个人给予保护，对有重大贡献的给予奖励。,Y
30,判断题,31.任何个人和组织都不得非法持有、使用间谍活动特殊需要的专用间谍器材。,Y
31,判断题,32.反间谍工作坚持中央统一领导，坚持公开工作与秘密工作相结合、专门工作与群众路线相结合、积极防御、依法惩治的原则。,Y
32,判断题,33.恐怖主义，是指通过暴力、破坏、恐吓等手段，制造社会恐慌、危害公共安全、侵犯人身财产，或者胁迫国家机关、国际组织，以实现其政治、意识形态等目的的主张和行为。,Y
33,判断题,34.恐怖活动组织，是指三人以上为实施恐怖活动而组成的犯罪组织。,Y
34,判断题,35.恐怖活动人员，是指实施恐怖活动的人和恐怖活动组织的成员。,Y
35,判断题,36.恐怖事件，是指正在发生或者已经发生的造成或者可能造成重大社会危害的恐怖活动。,Y
36,判断题,37.国家不向任何恐怖活动组织和人员作出妥协，不向任何恐怖活动人员提供庇护或者给予难民地位。,Y
37,判断题,38.依据《中华人民共和国网络安全法》，任何个人和组织有权对危害网络安全的行为向网信、电信、公安等部门举报。,Y
38,判断题,39.依据《中华人民共和国网络安全法》，任何个人和组织不得窃取或者以其他非法方式获取个人信息，不得非法出售或者非法向他人提供个人信息。,Y
39,判断题,40.为了避免设置的口令复杂而难以记忆，我们可以设置方便易记的口令，比如使用姓名、工号或出生日期等作为口令。,N
40,判断题,41.利用互联网传播已经成为计算机病毒传播的主要途径。,Y
41,判断题,42.网络交易的信息风险主要来自冒名偷窃、篡改数据、信息丢失等方面的风险。,Y
42,判断题,43.离开寝室或机房教室区域，应锁定计算机屏幕或关闭计算机。,Y
43,判断题,44.生产计算机由于其特殊性，可以不实施安全管控措施。,N
44,判断题,45.网络钓鱼的目标往往是细心选择的一些电子邮件地址。,Y
45,判断题,46.生产计算机和办公计算机终端报废时，都应按照公司的保密要求组织对硬盘等数据存储介质进行统一销毁。,Y
46,判断题,47.不得在内部信息网络私自架设各种网络设备，不在计算机连接内部网络的情况下利用WIFI、无线上网卡、专线等方式违规建立互联网连接。,Y
47,判断题,48.信息系统给出的初始密码是符合密码复杂度和长度要求的，可以长期使用。,N
48,判断题,49.信息部门和有关部门在履行网络安全保护职责中获取的信息，只能用于维护网络安全的需要，不得用于其他用途。,Y
49,判断题,50.离开电脑可以不锁屏。,N
50,判断题,51.计算机病毒一般都是通过网络进行传播的，如果我们的计算机不联网，可以不用安装防病毒软件。,N
51,判断题,52.为了方便工作，可将敏感业务信息存储在移动智能终端上，以便于查阅。,N
52,判断题,53.日常工作中，我们在处理废弃资料时应提高安全意识，把废弃的含有敏感信息的纸质文件用碎纸机粉碎。,Y
53,判断题,54.外部来访人员的现场工作或远程维护工作内容应在合同中明确规定，如果工作涉及机密或秘密信息内容，应要求其签署保密协议。,Y
54,判断题,55.计算机终端可以在高温、高湿的地方使用。,N
55,判断题,56.国家秘密分为“绝密”、“机密”、“秘密”三级,Y
56,判断题,57.严禁使用非加密的移动介质存储涉密信息,Y
57,判断题,58.安装计算机病毒防护软件后，机器慢了很多，为了便于工作，可直接将该软件卸载。,N
58,判断题,59.将自己私人的计算机带回单位并接入局网络开展工作，是一种无私的表现，不违反信息安全相关规定，值得提倡。,N
59,判断题,60.防火墙可以防范病毒，防火墙自身不会被攻破。,N
60,判断题,61.校园贷又称校园贷款，是指一些网络贷款平台面向在校大学生开展的贷款业务。,Y
61,判断题,62.P2P网络借贷是指个体和个体之间通过互联网平台实现的直接借贷、个体、包括自然人、法人及其他组织。,Y
62,判断题,63.借款学生未按合同约定按时偿还借款的，银行将根据实际逾期金额和逾期天数计收罚息，罚息利率为合同约定利率的130%，同时将按照有关规定对违约学生进行处理,Y
63,判断题,64.大多数校园贷款平台宣传0利率、0担保、免服务费等，这些贷款和消费讯息是真实可靠的。,N
64,判断题,65.近年来，校园贷的风险逐渐显现，大学生要培养自己勤俭意识，及时发现并纠正自己超前消费、过度消费和从众消费等错误观念。,Y
65,判断题,66.中国银监会、教育部、人力资源社会保障部2017年5月27日下发了《关于进一步加强校园贷规范管理的工作通知》，通知要求未经银行业监管部门批准设立的机构禁止提供校园贷服务；且现阶段一律暂停网贷机构开展校园贷业务，对于存量业务要制定整改计划，明确退出时间表。,Y
