,类型,题目,答案
32,判断题,11.在紧急情况下，中华人民共和国国家主席可以决定全国或者个别省、自治区、直辖市进入紧急状态。( ),错
33,判断题,12.在国家安全工作中，需要采取限制公民权利和自由的特别措施时，为了国家安全需要，有时可以超限行使。( ),错
34,判断题,13.国家安全工作应当坚持总体国家安全观，以政治安全为宗旨，以人民安全为根本，以经济安全为基础。( ),错
35,判断题,14.国家安全工作应当统筹内部安全和外部安全、国土安全和国民安全、传统安全和非传统安全、自身安全和共同安全。( ),对 
36,判断题,15.国家依法采取必要措施，保护海外华人华侨、组织和机构的安全和正当权益，保护国家的海外利益不受威胁和侵害。( ),错
37,判断题,16.企业事业组织应当依法配合有关部门采取相关安全措施。( ),对
38,判断题,17.香港特别行政区、澳门特别行政区享有高度自治的权利，不需履行维护国家安全的责任。( ),错
39,判断题,18.中国台湾居民黄某在美国没有维护中国国家安全的义务。( ),错
40,判断题,19.任何个人和组织不得有危害国家安全的行为，不得向危害国家安全的个人或者组织提供任何资助或者协助( ),对 
41,判断题,20.国家安全机关在侦破某涉嫌危害国家安全犯罪案件中，对某单位员工采取强制措施时，该单位可以该人员系商业秘密知情人员为由拒绝协助配合。( ),错
42,判断题,1.《反间谍法》的立法目的是防范、制止和惩治间谍行为，维护国家安全。( ),对 
43,判断题,2.国家安全机关是反间谍工作的主管机关。公安、保密行政管理等其他有关部门和军队有关部门按照职责分工，各司其职，密切配合，依法做好有关工作。( ),错
44,判断题,3.中华人民共和国公民有维护国家的安全、荣誉和利益的义务，不得有危害国家的安全、荣誉和利益的行为。( ),对 
45,判断题,4.国家安全机关在反间谍工作中必须依靠人民的支持，动员、组织人民防范、制止和惩治危害国家安全的间谍行为。( ),错
46,判断题,5.反间谍工作应当依法进行，尊重和保障人权，保障公民和组织的合法权益。( ),对 
47,判断题,6.境外机构、组织、个人实施或者指使、资助他人实施的，或者境内机构、组织、个人与境外机构、组织、个人相勾结实施的危害中华人民共和国国家安全的间谍行为，都必须受到法律追究。( ),对 
48,判断题,7.国家对支持、协助反间谍工作的组织和个人给予保护，对作出贡献的给予奖励。( ),错
49,判断题,8.国家安全机关在反间谍工作中依法行使侦查、拘留、预审和批准逮捕以及法律规定的其他职权。( ),错
50,判断题,9.国家安全机关的工作人员依法执行任务时，依照规定出示相应证件，可以查验中国公民的身份证明，但无权查验境外人员的身份证明。( ),错
51,判断题,10.国家安全机关的工作人员依法执行任务时，根据国家有关规定，经过批准，出示相应证件，可以查看或者调阅有关的档案、资料、物品，但无权调取。( ),错
52,判断题,11.国家安全机关的工作人员在依法执行紧急任务的情况下，经出示相应证件，可以免费乘坐公共交通工具，遇交通阻碍时，优先通行。( ),错
53,判断题,12.国家安全机关因反间谍工作需要，按照国家有关规定，可以优先使用或者依法征用机关、团体、企业事业组织和个人的交通工具、通信工具、场地和建筑物，必要时，可以设置相关工作场所和设备、设施，任务完成后应当及时归还或者恢复原状，并依照规定给予补偿。( ),错
54,判断题,13.国家安全机关因反间谍工作需要，按照国家有关规定，可以优先使用或者依法征用机关、团体、企业事业组织和个人的交通工具、通信工具、场地和建筑物，必要时，可以设置相关工作场所和设备、设施，任务完成后应当及时归还或者恢复原状，并依照规定支付相应费用；造成损失的，应当赔偿。( ),错
55,判断题,14.国家安全机关因侦察间谍行为的需要，根据国家有关规定，可以采取技术侦察措施。( ),错
56,判断题,15.国家安全机关因反间谍工作需要，可以依照规定查验有关组织和个人的电子通信工具、器材等设备、设施。查验中发现存在危害国家安全情形的，可以直接予以查封、扣押。( ),错
57,判断题,16.国家安全机关因反间谍工作需要，依法查封、扣押查验中存在危害国家安全情形、拒绝整改或者整改后仍不符合要求的组织和个人的电子通信工具、器材等设备、设施，在危害国家安全的情形消除后，视情予以解除查封、扣押。( ),错
58,判断题,17.国家安全机关因反间谍工作需要，根据国家有关规定，可以要求海关、边防等检查机关对有关人员和资料、器材免检。有关检查机关应当予以协助。( ),错
59,判断题,18.国家安全机关因反间谍工作需要，根据国家有关规定，可以提请海关、边防等检查机关对有关人员和资料、器材免检。有关检查机关视情予以协助。( ),错
60,判断题,19.国家安全机关根据反间谍工作需要，可以会同有关部门制定反间谍技术防范标准，指导有关部门落实反间谍技术防范措施，对核心要害部门，经过严格的批准手续，可以进行反间谍技术防范检查和检测。( ),错
61,判断题,20.国家安全机关根据反间谍工作需要，可以会同有关部门制定反间谍技术防范标准，指导有关部门落实反间谍技术防范措施，对存在隐患的部门，可以立即进行反间谍技术防范检查和检测。( ),错
62,判断题,21.国家安全机关及其工作人员在工作中，应当严格依法办事，不得超越职权、滥用职权，不得侵犯组织和个人的合法权益。( ),对 
63,判断题,22.国家安全机关工作人员依法履行职责获取的组织和个人的信息、材料，只能用于反间谍工作，不能用于其他工作。( ),错
64,判断题,23.国家安全机关工作人员依法执行职务受法律保护。( ),对 
65,判断题,24.机关、团体和其他组织应当对本单位的人员进行维护国家安全的教育，动员、组织本单位的人员防范、制止和惩治间谍行为。( ),错
66,判断题,25.公民和组织尽可能为反间谍工作提供便利或者其他协助。( ),错
67,判断题,26.公民因协助反间谍工作，本人或者其亲友的人身、财产安全面临危险的，可以向国家安全机关请求予以保护。国家安全机关应当会同有关部门依法采取保护措施。( ),错
68,判断题,27.公民因协助反间谍工作，本人或者其近亲属的人身安全面临危险的，可以向国家安全机关请求予以保护。国家安全机关应当要求有关部门依法采取保护措施。( ),错
69,判断题,28.公民和组织发现间谍行为，应当及时向国家安全机关报告；向公安机关等其他国家机关、组织报告的，相关国家机关、组织应当依法处理。( ),错
70,判断题,29.公民发现间谍行为或者线索，应当及时向国家安全机关报告，不得延误。但如果认为意义不大、无关大局的，可以不报。( ),错
71,判断题,30.在国家安全机关调查了解有关间谍行为的情况、收集有关证据时，有关组织和个人应当视情提供，不得拒绝。( ),错
72,判断题,31.任何公民和组织都应当保守所知悉的有关反间谍工作的国家秘密、商业秘密和个人隐私。( ),错
73,判断题,32.因特殊工作需要，有关个人和组织可以非法持有属于国家秘密的文件、资料和其他物品。( ),错
74,判断题,33.任何个人和组织都不得非法持有、使用间谍活动特殊需要的专用间谍器材。专用间谍器材由国家安全机关依照国家有关规定确认。( ),错
75,判断题,34.任何个人和组织对国家安全机关及其工作人员超越职权、滥用职权和其他违法行为，都有权向上级国家安全机关或者有关部门检举、控告。受理检举、控告的国家安全机关或者有关部门应当及时查清事实，负责处理，并将处理结果及时告知检举人、控告人。( ),对
76,判断题,35.对协助国家安全机关工作或者依法检举、控告的个人和组织，任何个人和组织不得压制和打击报复。( ),对
77,判断题,36.犯间谍罪的，有自首或者立功表现的，可以从轻、减轻或者免除处罚；有重大立功表现的，给予奖励。( ),错
78,判断题,37.实施间谍行为，有自首或者立功表现的，可以从轻、减轻或者免除处罚，也可以给予奖励。( ),错
79,判断题,38.在境外受胁迫或者受诱骗参加敌对组织、间谍组织、恐怖组织，从事危害中华人民共和国国家安全的活动，及时向中华人民共和国驻外机构如实说明情况的，或者入境后直接或者通过所在单位及时向国家安全机关、公安机关如实说明情况，可以不予追究。( ),错
80,判断题,39.明知他人有间谍犯罪行为，在国家安全机关向其调查有关情况、收集有关证据时，拒绝提供的，由国家安全机关予以处分，或者处十五日以下行政拘留；构成犯罪的，依法追究刑事责任。( ),错
81,判断题,40.故意阻碍国家安全机关依法执行任务，未使用暴力、威胁方法，造成严重后果的，由其所在单位或者上级主管部门予以处分。( ),错
82,判断题,41.泄露有关反间谍工作的国家秘密的，由国家安全机关或者保密行政管理部门处十五日以下行政拘留；构成犯罪的，依法追究刑事责任。( ),错
83,判断题,42.对非法持有属于国家秘密的文件、资料和其他物品的，以及非法持有、使用专用间谍器材的，国家安全机关可以依法对其人身、物品、住处和其他有关的地方进行搜查；对其非法持有的属于国家秘密的文件、资料和其他物品，以及非法持有、使用的专用间谍器材予以没收。( ),对
84,判断题,43.隐藏、转移、变卖、损毁国家安全机关依法查封、扣押、冻结的财物的，或者明知是间谍活动的涉案财物而窝藏、转移、收购、代为销售或者以其他方法掩饰、隐瞒的，由国家安全机关追回。构成犯罪的，依法追究刑事责任。( ),对
85,判断题,44.限期离境或者驱逐出境的范围只限于违反《反间谍法》的外国人。( ),错
86,判断题,45.当事人对国家安全机关行政处罚决定、行政强制措施决定不服的，可以自接到决定书之日起六十日内，向作出决定的国家安全机关的上一级机关或者同级人民政府申请行政复议。( ),错
87,判断题,46.国家安全机关对依照反间谍法查封、扣押、冻结的财物，一律予以没收，并上缴国库。( ),错
88,判断题,47.国家安全机关对依照反间谍法查封、扣押、冻结的财物，没有违法事实的，或者与案件无关的，应当变更查封、扣押、冻结，并及时返还相关财物；造成损失的，应当依法补偿。( ),错
89,判断题,48.国家安全机关没收的财物，视情上缴国库。( ),错
90,判断题,49.国家安全机关工作人员滥用职权、玩忽职守、徇私舞弊，构成犯罪的，或者有非法拘禁、刑讯逼供、暴力取证、违反规定泄露国家秘密、商业秘密和个人隐私等行为，构成犯罪的，依法追究刑事责任。( ),对 
91,判断题,50.间谍组织及其代理人实施或者指使、资助他人实施，或者境内外机构、组织、个人与其相勾结实施的所有活动，都是间谍行为。( ),错
92,判断题,51.为敌人指示攻击目标的行为，属于间谍行为。( ),对 
93,判断题,52.国家安全机关依照法律、行政法规和国家有关规定，履行防范、制止和惩治间谍行为以外的其他危害国家安全行为的职责，适用中央有关文件规定。( ),错
94,判断题,53.反间谍法自2014年 12月 4日起施行。( ),错
95,判断题,1.阻碍国家情报工作机构及其工作人员依法开展情报工作的，由国家安全机关建议相关单位给予处分。( ),错
96,判断题,2.任何组织和公民都应当依法支持、协助和配合国家情报工作，保守所知悉的国家情报工作秘密。( ),对 
97,判断题,3.国家情报工作应当依法进行，尊重和保障人权，维护个人和组织的各项权益。( ),错
98,判断题,4.国家情报工作机构可以按照国家有关规定，开展对外交流与合作。( ),对 
99,判断题,5.国家情报工作机构根据工作需要，可以自主决定采取技术侦察措施和身份保护措施。( ),错
100,判断题,6.个人和组织因支持、协助和配合国家情报工作导致财产损失的，按照实际损失给予赔偿。( ),错
101,判断题,7.国家对在国家情报工作中做出重大贡献的个人和组织给予表彰和奖励。( ),对 
102,判断题,8.为了加强和保障国家情报工作，维护国家安全和利益，根据国家安全法，制定国家情报法。( ),错
103,判断题,9.国家情报工作机构依法开展情报工作，可以要求有关机关、组织和公民提供必要的支持、协助和配合。( ),对
104,判断题,10.国家情报工作机构工作人员在日常工作中，经出示相应证件，可以享受通行便利。( ),错
105,判断题,11.国家情报工作机构根据工作需要，按照国家有关规定，可以提请海关、出入境边防检查等机关提供免检等便利。( ),对
106,判断题,12.国家对支持、协助和配合国家情报工作的个人和组织给予保护。( ),对
107,判断题,1.对恐怖案件有管辖权的只有公安机关。( ),错
108,判断题,2.在反恐怖主义工作中，应当尊重公民的宗教信仰自由和民族风俗习惯，禁止任何基于地域、民族、宗教等理由的歧视性做法。( ),对
109,判断题,3.重点目标的管理单位采集的视频图像信息保存期限不得少于60日。( ),错
110,判断题,4.任何单位和个人都有协助、配合有关部门开展反恐怖主义工作的义务。( ),对 
111,判断题,5.恐怖事件发生、发展和应对处置信息，由恐怖事件发生地的公安机关统一发布。( ),错
112,判断题,6.审计、财政、税务等部门在依照法律、行政法规的规定对单位实施监督检查的过程中，发现资金流入流出涉嫌恐怖主义融资的，应当及时通报公安机关。( ),对 
113,判断题,7.被认定的恐怖活动组织和人员对认定不服的，可以通过国家反恐怖主义工作领导机构的办事机构申请复核。国家反恐怖主义工作领导机构应当及时进行复核，作出维持或者撤销认定的决定。若不服复核决定，还可以向人民法院提起行政诉讼。( ),错
114,判断题,8.电信、互联网、金融、住宿、长途客运、机动车租赁等业务经营者、服务提供者，应当对客户身份进行查验。对身份不明或者拒绝身份查验的，可以在提供服务的同时向公安机关报告。( ),错
115,判断题,9.人民警察、人民武装警察以及其他依法配备、携带武器的应对处置人员，对在现场持枪支、刀具等凶器或者使用其他危险方法，正在或者准备实施暴力行为的恐怖活动人员，必须先警告无效后才可以使用武器。( ),错
116,判断题,1.0相关部门因履行反恐怖主义职责的紧急需要，根据《反恐怖主义法》的规定征用单位和个人的财产，造成损失的，应当赔偿。( ),错
117,判断题,1.反恐怖主义法所称恐怖事件，是指正在发生或者已经发生的造成或者可能造成重大社会危害的恐怖活动。( ),对
118,判断题,1.境外非政府组织未登记设立代表机构，可以临时在中国境内开展活动。( ),错
119,判断题,2.境外非政府组织在中国境内开展活动，只接受登记管理机关的监督管理。( ),错
120,判断题,进行年度检查可以依法减免费用。( ),错
121,判断题,政府组织在中国境内的活动，保障其合法权益，促进交流与合作。( ),对 
122,判断题,5.违反《网络安全法》第二十七条规定，受到治安管理处罚的人员，五年内不得从事网络安全管理和网络运营关键岗位的工作；受到刑事处罚的人员，十年内不得从事网络安全管理和网络运营关键岗位的工作。( ),错
123,判断题,维护网络安全的需要和其他用途。( ),错
124,判断题,保守国家秘密的义务。( ),对 
125,判断题,8.军事设施管理单位任何情况下都不得将军事设施用于非军事目的。( ),错
126,判断题,大陆居民前往港澳台地区，凭出入境管理部门签发的旅行证件，从开放 的或者指定的出入境口岸通行。( ),对
127,判断题,10.对国家安全机关通知不准入境、出境的外国人，边防检查站有权阻止入境或者出境。( ),对 
128,判断题,11.涉密人员脱密期满后，可以不再履行保密责任和义务。( ),错
129,判断题,外商投资企业不可以通过公开发行股票、公司债券等证券和其他方式进 行融资。( ),错
130,判断题,13.国家建立外商投资安全审查制度，对影响或者可能影响国家安全的外商投资进行安全审查。( ),对 
131,判断题,14.外商投资企业依法不适用国家支持企业发展的政策。( ),错
132,判断题,15. 外商投资企业可以依法成立商会、协会。( ),对 
133,判断题,16.核心密码、普通密码和商用密码属于国家秘密。( ),错
134,判断题,1、擅自设立宗教活动场所，或宗教场所已经被取消，但仍在进行活动的场所应由宗教事务部门依法予以取缔。( ),正确
135,判断题,2、根据《宗教事务条例》规定，宗教活动场所合并、分立、终止或者变更登记内容的，必须到原登记管理机关办理相应的变更登记手续。( ),正确
136,判断题,3、宗教教职人员主持宗教活动、举行宗教仪式、从事宗教典籍整理、进行宗教文化研究等活动，受法律保护。( ),正确
137,判断题,4、外国人到中国宗教院校讲学，须根据《宗教院校聘用外籍专业人员办法》的规定办理。( ),正确
138,判断题,5、宗教院校由全国性宗教团体或省、自治区、直辖市宗教团体举办。其他任何组织和个人都不得举办宗教院校。( ),正确
139,判断题,6、宗教院校的变更、撤销与合并，均应按申请设立宗教院校的相关要求办理。( ),正确
140,判断题,7、宗教活动场所应当成立财务管理小组，在本场所管理组织的领导下对本场所的财务进行管理。财务管理小组一般由本场所管理组织负责人、会计人员、出纳人员等组成。( ),正确
141,判断题,8、信教公民享有宪法和法律规定的权利，同时履行宪法和法律规定的义务。( ),正确
142,判断题,9、宗教团体、寺观教堂经批准编印的内部资料性出版物也可以在宗教团体、宗教活动场所外流通。( ),错误
143,判断题,10、宗教团体、宗教活动场所必须接受人民政府宗教事务部门的监督管理。( ),正确
144,判断题,11、根据《宗教教职人员备案办法》之规定，宗教团体依照本宗教的有关规定解除宗教教职人员身份，还须到原备案的政府宗教事务部门办理注销备案手续。( ),正确
145,判断题,12、宗教活动场所的负责人可以同时兼任出纳。( ),错误
146,判断题,13、如果捐赠方提供的实物，没有提供相关凭据的，宗教活动场所不必入账。( ),错误
147,判断题,14、宗教活动场所举办经济实体，无须纳税。( ),错误
148,判断题,15、侨居国外的中国公民在中国境内，台湾居民在大陆，香港、澳门居民进行宗教活动，参照《中华人民共和国境内外国人宗教活动管理规定》执行。( ),正确
149,判断题,16、宗教院校可以聘用持旅游、探亲或留学等签证的外籍人员讲学。( ),错误
150,判断题,17、根据《宗教院校聘用外籍专业人员办法》之规定，宗教院校聘用外籍专业人员讲学须签订合同，约定双方的权利和义务。( ),正确
151,判断题,18、我国实行宗教信仰自由政策，因此宗教活动不受约束。( ),错误
152,判断题,19、解放思想、实事求是、与时俱进、求真务实，是科学发展观最鲜明的精神实质。( ),正确
153,判断题,20、宗教界依法开展公益慈善活动和设立的公益慈善组织受法律保护，享受与社会其他方面同等的优惠待遇。( ),正确
154,判断题,21、服务社会、利益人群是我国各宗教共同的传统。( ),正确
155,判断题,22、宗教组织的捐赠收入，只能用于与该宗教组织宗旨相符的活动以及社会公益事业。( ),正确
156,判断题,1、我国实行的是宗教信仰自由政策，但所有的宗教活动都要依照《宪法》和相关法律进行。( ),正确
157,判断题,2、当发现具有邪教特征的非法聚会和其他活动时，或者有人要拉拢你参与邪教活动，赶紧向公安机关报告。( ),正确
158,判断题,3、“呼喊派”又称“地方召会”，由骨干李常受于1962年在美国创立。( ),正确
159,判断题,4、“全能神”信仰“女基督”。( ),正确
160,判断题,5、2001年1月23日，在北京天安门发生了“法轮功”习练者的自焚案。( ),正确
161,判断题,51、我国的国家安全，以政治安全为宗旨，以国土安全为根本，经济安全以为基础。( ),错
162,判断题,52、“杀猪盘”诈骗通常指的是通过网恋交友诱导投资的诈骗方式。( ),对
163,判断题,53、为维护国家安全，不能非法购买或出售卫星数据接收卡、无线摄像笔、实时视频无线监控器、GPS跟踪定位器、钥匙扣密拍器等专业间谍器材。( ),对
164,判断题,54、习近平总书记在十九届中央国家安全委员会第一次会议上指出：人民安全是国家安全的宗旨，政治安全是国家安全的根本，国家利益至上是国家安全的准则。( ),对
165,判断题,55、某高校几名大二同学在宿舍喝酒，期间一人去卫生间，一些同学正在洗脸刷牙，醉酒者脚一滑险些跌倒，他便恼羞成怒说有人嘲笑他，开始辱骂追打其他同学，其余喝酒者闻讯也拿着啤酒瓶挨屋打人，致使其他宿舍两名同学受伤。这几名喝酒的同学涉嫌寻衅滋事罪罪名。( ),对
166,判断题,56、正当防卫和紧急避险属于正当行为。( ),对
167,判断题,57、附加刑既可以附加于主刑适用，又可以独立适用。( ),对
168,判断题,58、犯罪的主观故意比间接故意的量刑重，因为前者主观恶性比后者大。( ),对
169,判断题,59、在民事法律领域，故意和过失被统称为过错，是构成一般侵权行为的要素。( ),对
170,判断题,60、根据宗教信仰自由，可以在校园内进行宗教活动。( ),错
171,判断题,61、短信报警的电话号码为 96110。 ( ),错
172,判断题,62、公安机关、检察院、法院办案时可以通过微信、QQ 发送证件照片给你 表明身份。( ),错 
173,判断题,63、在正规应用市场下载的网络交友平台，是经过审核的软件，不会遇到骗 子。( ),错 
174,判断题,64、正规的刷单兼职少量存在，只要在网上用心寻找即可。 ( ),错 
175,判断题,65、演唱会门票在官方渠道售罄后，通过微博、微信、贴吧等渠道向专业黄 牛购买，经过在线核实后，可以付款购买，没有安全风险。( ),错 
176,判断题,66、遇到陌生电话自称是学院某老师要找你的，应先向辅导员或者身边同学核 实该老师身份。 ( ),对 
177,判断题,67、陌生来电自称是淘宝客服，并告知你的订单出错需要根据他的提示从支付 宝进行操作的，是诈骗。 ( ),对
178,判断题,68、陌生来电自称是某贷款平台客服，并告知你的贷款有不良记录，会影响个人征信，应立即根据他的提示进行注销。( ),错
179,判断题,69、国家运用政治、经济、法律、文化、教育、外交、军事等手段，开展反 恐怖主义工作。 ( ),对
180,判断题,70、国家不向任何恐怖活动组织和人员作出妥协，但可以向部分恐怖活动人员提供庇护或者给予难民地位。( ),错
181,判断题,71、对地铁、火车站、机场遇到的自称身无分文的学生求助，要仔细识别，防止上当，应告知其自行报警。( ),对 
182,判断题,72、网络、手机 app 中的涉黄视频网站是非法的，且往往包含大量木马和非 法程序，窃取个人信息或实施诈骗。 ( ),对 
183,判断题,73、接到自称是医院的电话，说你的父母出了车祸，要求你把钱打到医院 账户，你应当立马打钱，救人要紧。( ),错 
184,判断题,74、遭遇网络诈骗后，应将该对方的 QQ 号、手机号、聊天记录等留存，作为 证据提交给警方。 ( ),对 
185,判断题,75、任何组织和个人不得在学校进行宗教活动或传教。( ),对
186,判断题,1、目标是你追求的、实实在在能达到的结果，合理的目标和实际的行动能帮助你实现自己的梦想。( ),正确
187,判断题,2、人的情绪来自人所遭遇的事情本身。( ),错误
188,判断题,3、错觉是与实际情况不一致的知觉( ),正确
189,判断题,4、一个想自杀的开始表现慷慨和分享个人财产，表明这个人有好转和恢复的迹象。( ),错误
190,判断题,5、当刺激事件打破了有机体现有的平衡或超过了个体的能力所及，个体就会感受到压力( ),正确
191,判断题,6、心理健康状态是静止的，固定不变的。( ),错误
192,判断题,7、恋爱失败了，而用功学习，用好成绩来补偿失恋的痛苦，可谓“失之东隅，收之桑榆”这是一种积极的心理防御。( ),正确
193,判断题,8、所有的模仿行为都是天生的。( ),错误
194,判断题,9、小明特别恐惧狗，每当看到狗或听到狗叫时就会做出回避性动作。因此，恐惧对自己来说是一种保护机制。( ),正确
195,判断题,10、动机越强越有利于解决问题。( ),错误
196,判断题,11、长期的高焦虑会引起高血压，胃溃疡( ),正确
197,判断题,12、对他人的第一印象一旦形成，就不会再改变。( ),错误
198,判断题,13、保密原则是心理咨询中最重要的原则( ),正确
199,判断题,14、国家鼓励和支持新闻媒体、社会组织开展精神卫生的公益性宣传，普及精神卫生知识，引导公众关注心理健康，预防精神障碍的发生。( ),正确
200,判断题,15、社交恐惧症是一种不可以治疗的疾病。( ),错误
201,判断题,16、排解愤怒不需要讲究技巧的，只要图一时之快，逞一时之勇，发泄出来就好。( ),错误
202,判断题,17、心理健康的人，不但能体验到喜怒哀乐，真实地感受到各种情绪，而且能恰当地调控自己的情绪，心胸开阔，热爱生活，积极乐观。( ),正确
203,判断题,18、我们在面对负性情绪时首先要坦然接纳并面对，然后再想办法采取建设性的方式去解决问题。( ),正确
204,判断题,19、情绪不可能被调节，也不可能被管理的。( ),错误
205,判断题,20、心理咨询就是心理治疗，效果是一样的。( ),错误
206,判断题,1、使用过的油棉纱、油手套等沾油纤维物品以及可燃包装，应放在安全地点，且定期处理。( ),正确
207,判断题,2、二氧化碳灭火器可以扑救钾、钠、镁金属火灾。( ),错误
208,判断题,3、一氧化碳的爆炸极限是12.5%-74.5%，也就是说，一氧化碳在空气中的浓度小于12.5%时，遇明火时，这种混合物也不会爆炸。( ),正确
209,判断题,4、在设有车间或者仓库的建筑物内，不得设置员工集体宿舍。但对于确有困难的，可以设置。( ),错误
210,判断题,5、禁止在具有火灾、爆炸危险的场所使用明火；因特殊情况需要使用明火作业的，应当按照规定事先办理审批手续。( ),正确
211,判断题,6、从消防观点来说，液体闪点就是可能引起火灾的最高温度。( ),错误
212,判断题,7、高层民用建筑内不能使用瓶装液化石油气。( ),正确
213,判断题,8、公共场所室内装修时，只要配备足够的消防器材，可以使用易燃材料。( ),错误
214,判断题,9、电器产品、燃气用具的安装或者线路、管路的敷设不符合消防安全技术规定的，责令限期改正；逾期不改正的，责令停止使用。( ),正确
215,判断题,10、纽约世贸中心大楼在“9.11”事件中倒塌的原因是由于钢结构被烧后支撑力减弱引起的。( ),正确
216,判断题,11、生产易燃易爆物品的单位，对产品应当附有燃点、闪点，爆炸极限等数据的说明书，并且注明防火防爆注意事项。( ),正确
217,判断题,12、在特殊情况下，单位和个人可以挪用、拆除消火栓，临时占用消防通道。( ),错误
218,判断题,13、易燃易爆工厂、仓库内一律为禁火区，并应设禁火标志。( ),正确
219,判断题,14、电加热设备必须有专人负责使用和监督，离开时要切断电源。( ),正确
220,判断题,15、禁止携带易燃易爆危险物品进入公共场所或乘坐交通工具。( ),正确
221,判断题,16、在建筑内，火势向上蔓延的最快途径是热辐射。( ),错误
222,判断题,17、配电箱内所用的保险丝应该越粗越好。( ),错误
223,判断题,18、“ABC干粉灭火器”的意思是只能扑灭 A类、B类和 C类火灾。( ),错误
224,判断题,19、在实验室做实验的过程中，不可以擅自离开实验现场。( ),正确
225,判断题,20、在实验过程中，有液体燃料发生火灾，所有的灭火设备都可以采用。( ),错误
226,判断题,21、报火警时一定要讲清：发生火灾单位的详细地址和起火原因等。( ),错误
