,类型,题目,答案
14,简答题,15.《国家安全法》中关于维护国家安全的专门机关有哪些？,"《国家安全法》第42条规定，国家安全机关、公安机关依法搜集涉及国家安全的情报信息，在国家安全工作中依法行使侦查、拘留、预审和执行逮捕以及法律规定的其他职权。有关军事机关在国家安全工作中依法行使相关职权。
"
15,简答题,16.《国家安全法》规定了哪些国家安全制度？,"《国家安全法》的第四章是“国家安全制度”，规定了五项国家安全制度：一是国家安全战略贯彻实施制度。二是国家安全情报信息制度。三是国家安全风险预防、评估和预警制度。四是国家安全审查监管制度。五是国家安全危机管控制度。 
"
16,简答题,17.各有关部门的情报信息职责是什么？,"根据《国家安全法》第52条规定，国家安全机关、公安机关、有关军事机关根据职责分工，依法搜集涉及国家安全的情报信息。国家机关各部门在履行职责过程中，对于获取的涉及国家安全的有关信息应当及时上报。 
"
17,简答题,18.开展国家安全风险评估有什么要求？,"根据《国家安全法》第 56条规定，国家建立国家安全风险评估机制，定期开展各领域国家安全风险调查评估。有关部门应当定期向中央国家安全领导机构提交国家安全风险评估报告。 
"
18,简答题,19.发生危及国家安全的重大事件时，如何实施国家安全危机管控？,"根据《国家安全法》第 63条规定，发生危及国家安全的重大事件，中央有关部门和有关地方根据中央国家安全领导机构的统一部署，依法启动应急预案，采取管控处置措施。 
"
19,简答题,20.决定国家进入非常状态的主体、权限和程序是什么？,"根据《国家安全法》第 64条规定，发生危及国家安全的特别重大事件，需要进入紧急状态、战争状态或者进行全国总动员、局部动员的，由全国人民代表大会、全国人民代表大会常务委员会或者国务院依照宪法和有关法律规定的权限和程序决定。 
"
20,简答题,21.《国家安全法》规定了哪些国家安全工作机制？,"《国家安全法》在第四章“国家安全制度”中规定了五项国家安全工作机制：一是国家安全重点领域工作协调机制。二是国家安全工作督促检查和责任追究机制。三是国家安全跨部门会商工作机制。四是国家安全工作重大事项协同联动机制。五是国家安全决策咨询机制。 
"
21,简答题,22.国家安全宣传教育保障的内容是什么？,"根据《国家安全法》第76条规定，国家加强国家安全新闻宣传和舆论引导，通过多种形式开展国家安全宣传教育活动，将国家安全教育纳入国民教育体系和公务员教育培训体系，增强全民国家安全意识。 
"
22,简答题,23.《反间谍法》规定的反间谍的工作原则包括哪些？,"反间谍工作坚持中央统一领导，坚持公开工作与秘密工作相结合、专门工作与群众路线相结合、积极防御、依法惩治的原则。
"
23,简答题,24.根据《反间谍法》有关规定，国家安全机关对于依法查封、扣押、冻结的财物，应如何处理？,"对依照《反间谍法》查封、扣押、冻结的财物，应当妥善保管，按照不同情形分别作出处理：（一）涉嫌犯罪的，依照刑事诉讼法的规定处理；（二）尚不构成犯罪，有违法事实的，对依法应当没收的予以没收，依法应当销毁的予以销毁；（三）没有违法事实的，应当解除查封、扣押、冻结，并及时返还相关财物。国家安全机关没收的财物，一律上缴国库。 
"
24,简答题,25.《反恐怖主义法》对恐怖主义的定义是什么？,"恐怖主义，是指通过暴力、破坏、恐吓等手段，制造社会恐慌、危害公共安全、侵犯人身财产，或者胁迫国家机关、国际组织，以实现其政治、意识形态等目的的主张和行为。 
"
25,简答题,26.什么是网络安全？,"网络安全，是指通过采取必要措施，防范对网络的攻击、侵入、干扰、破坏和非法使用以及意外事故，使网络处于稳定可靠运行的状态，以及保障网络数据的完整性、保密性、可用性的能力。 
"
26,简答题,27.什么是国家情报体制？,"国家建立健全集中统一、分工协作、科学高效的国家情报体制。中央国家安全领导机构对国家情报工作实行统一领导，制定国家情报工作方针政策，规划国家情报工作整体发展，建立健全国家情报工作协调机制，统筹协调各领域国家情报工作，研究决定国家情报工作中的重大事项。 
"
27,简答题,28.党的十九大报告指出，要严密防范和坚决打击哪些危害国家安全的活动？,"各种渗透颠覆破坏活动、暴力恐怖活动、民族分裂活动、宗教极端活动。 
"
28,简答题,29.意识形态工作的根本任务是？,"巩固马克思主义在意识形态领域的指导地位，巩固全党全国各族人民团结奋斗的共同思想基础。 
"
29,简答题,30.当前和今后一个时期，要着重抓好哪几个重点领域的国家安全工作？,"政治安全、国土安全、经济安全、社会安全、网络安全、外部安全
"
30,简答题,31.根据我国刑法规定，“为境外窃取、刺探、收买、非法提供国家秘密、情报罪”有哪些构成要件要素？,"（1）危害行为表现为窃取、刺探、收买、非法提供行为；（2）行为对象针对的是《保密法》所规定的国家秘密或者关系国家安全和利益、尚未公开或者依照有关规定不应公开的事项；（3）主观罪过形式为故意，且具备为境外机构、组织、人员提供的目的要素。 
"
31,简答题,32.列举《中华人民共和国刑法》中对于国家秘密予以保护所涉及的罪名。,"（1）（第一百一十一条）为境外窃取、刺探、收买、非法提供国家秘密、情报罪；（2）（第二百八十二条）非法获取国家秘密罪、非法持有国家绝密、机密文件、资料、物品罪；（3）（第三百九十八条）故意泄露国家秘密罪、过失泄露国家秘密罪。 
"
32,简答题,33.国家情报工作机构应当搜集和处理哪些情报：,"国家情报工作机构应当依法搜集和处理境外机构、组织、个人实施或者指示、资助他人实施的，或者境内外机构、组织、个人相勾结实施的危害中华人民共和国国家安全和利益行为的相关情报，为防范、制止和惩治上述行为提供情报依据或者参考。
"
33,简答题,1、党的十八大报告中关于宗教工作的论述是什么？,"报告中关于宗教工作的论述有两段：一是“统一战线是凝聚各方面力量，促进政党关系、民族关系、阶层关系和海内外同胞关系的和谐，夺取中国特色社会主义新胜利的重要法宝。”二是“全面贯彻党的宗教工作基本方针，发挥宗教界人士和信教群众在促进经济社会发展中的积极作用。”
"
34,简答题,2、依法管理宗教事务的要旨是什么？,"保护合法、制止非法、抵御渗透、打击犯罪。
"
35,简答题,3、党的宗教工作基本方针是什么？,"全面贯彻党的宗教信仰自由政策，依法管理宗教事务，积极引导宗教与社会主义社会相适应，坚持独立自主自办的原则。
"
36,简答题,4、《宪法》第三十六条对宗教信仰自由是怎样规定的？,"《宪法》第三十六条规定，“中华人民共和国公民有宗教信仰自由。任何国家机关、社会团体和个人不得强制公民信仰宗教或不信仰宗教，不得歧视信仰宗教的公民和不信仰宗教的公民。国家保护正常的宗教活动。任何人不得利用宗教进行破坏社会秩序、损害公民身体健康、妨碍国家教育制度的活动。宗教团体和宗教事务不受外国势力的支配。”
"
37,简答题,5、我国为什么实行宗教信仰自由的政策，又要依法加强对宗教事务的管理？,"尊重和保护宗教信仰自由，包括既保障人们信教的自由，又保障人们不信教的自由两个方面。宗教信仰自由充分显示了对公民基本权利的全面保护和尊重。国家在保护正常宗教活动的同时，依法加强对宗教事务的管理，是一个问题的两个方面，只有使宗教活动纳入法律、法规和政策的范围内，才能有利于更好地全面贯彻宗教信仰自由政策。
"
38,简答题,6、《宗教事务条例》的立法宗旨是什么？,"《宗教事务条例》的立法宗旨一是为了保障公民宗教信仰自由；二是维护宗教和睦与社会和谐；三是规范宗教事务管理。
"
39,简答题,7、党和政府处理与宗教界关系的原则是什么？,"政治上团结合作，信仰上互相尊重。
"
40,简答题,8、我国实行宗教信仰自由政策的根本出发点和落脚点是什么？,"我国实行宗教信仰自由政策的根本出发点和落脚点，就是大力加强广大信教群众和不信教群众的团结，把他们的力量凝聚到建设中国特色社会主义的共同目标上来。
"
41,简答题,9、引导宗教与社会主义社会相适应的两个基础是什么？,"建设中国特色社会主义，符合包括信教群众在内的广大人民群众的根本利益，这是引导相适应的政治基础；我国各宗教通过自身的改革和进步，也为社会主义社会发挥其积极作用打下了一定的基础。
"
42,简答题,10、宗教与社会主义社会相适应的主要表现是什么？,"在我国，宗教与社会主义社会相适应主要表现为宗教界和信教群众拥护共产党的领导和社会主义制度；在宪法和法律、政策的范围内开展宗教活动；发扬宗教教义、教规和道德中的积极因素，为促进经济发展、社会和谐与世界和平贡献力量。
"
43,简答题,11、现行的宗教事务方面行政法规有哪些？,"现行的宗教事务方面行政法规有 2部：《宗教事务条例》和《中华人民共和国境内外国人宗教活动管理规定》。
"
44,简答题,12、除了《宗教事务条例》的规范，宗教院校法规规章体系中有哪些部门规章？,"有《宗教院校设立办法》、《宗教院校聘用外籍专业人员办法》、《宗教院校教师资格认定和职称评审聘任办法（试行）》和《宗教院校学位授予办法（试行）》。
"
45,简答题,13、境外势力利用宗教进行渗透主要有哪两种情况？,"一种是打着宗教旗号企图颠覆我国政权和社会主义制度，破坏我国国家统一、领土完整和民族团结；一种是企图控制我国的宗教团体和干涉我国宗教事务，在我国境内建立宗教组织和活动据点、发展教徒。
"
46,简答题,14、宗教界要在经济社会发展中发挥积极作用，关键是要培养一支爱国爱教教职人员队伍。这支队伍应具有怎样的综合素质？,"中央领导要求培养一支政治上靠得住、学识上有造诣、品德上能服众、关键时刻起作用的爱国爱教教职人员队伍。
"
47,简答题,15、我国的立法体系包括哪几个层次？,"（一）宪法；（二）法律（狭义）；（三）行政法规；（四）地方性法规、自治条例和单行条例、规章。
"
48,简答题,16、根据《宗教事务条例》的规定，宗教教职人员的权益主要有哪些？,"根据《宗教事务条例》的规定，宗教教职人员的权益主要包括：从事教务活动，主持、参加宗教活动，参与宗教活动场所、宗教团体管理，从事宗教典籍整理，进行宗教文化研究和对外宗教交流活动等。
"
49,简答题,17、宗教教职人员有哪些义务？,"一是遵守国家的宪法法律法规和规章，维护国家统一、民族团结和社会稳定。二是服从所在地宗教团体的管理，遵守宗教团体的规章制度。三是服从所在宗教活动场所民主管理组织的管理，遵守宗教活动场所的规章制度。四是遵守本宗教的教义教规认真履行职责，教育引导信徒。
"
50,简答题,18、宗教团体有哪些权利？,"按其章程开展活动；认定教职人员；申请设立宗教活动场所；编印宗教内部资料性出版物；组织集体宗教活动；举办宗教院校；选派和接受宗教留学人缘好；开展对外友好交往活动；兴办社会公益事业；接受组织和个人的捐赠。
"
51,简答题,19、党的十八大提出的五位一体的总布局是指什么？,"经济建设、政治建设、文化建设、社会建设和生态文明建设。
"
52,简答题,20、党的十八大提出的总任务是什么？,"总任务是实现社会主义现代化和中华民族伟大复兴。
"
53,简答题,21、党的十八大提出的社会主义核心价值观的主要内容是什么？,"倡导富强、民主、文明、和谐，倡导自由、平等、公正、法治，倡导爱国、敬业、诚信、友善。
"
54,简答题,22、统一战线的五大关系是指什么？,"政党关系、民族关系、宗教关系、阶层关系、海内外同胞关系
"
55,简答题,23、创建和谐寺观教堂的基本标准有哪些？,"爱国爱教、知法守法、团结稳定、活动有序、教风端正、管理规范、安全整洁、服务社会（共8条，答出5条以上）。
"
56,简答题,24、鼓励和规范宗教界从事公益慈善事业活动的积极意义是什么？,"是新形势下贯彻党的宗教工作基本方针、引导宗教与社会主义社会相适应的必然要求、是发挥宗教界人士和信教群众积极作用的重要途径、是促进我国公益慈善事业健康发展的有益补充。
"
57,简答题,25、宗教院校的办学方针是什么？,努力培养和造就一支热爱祖国、接受党和政府领导，坚持走社会主义道路，维护祖国统一和民族团结、有宗教学识、立志从事宗教事业并能联系信教群众的宗教教职人员队伍。
