,类型,题目,答案
26,填空题,20.把上升为国家战略，是我们长期探索经济建设和国防建设协调发展规律的重大成果，是从国家发展和安全全局出发作出的重大决策，( )是应对复杂安全威胁、赢得国家战略优势的重大举措。,军民融合发展
27,填空题,21.坚定理想信念，对党绝对忠诚，是党和人民对国家安全机关的一贯要求，新的历史条件下仍然要坚定不移坚持和加强，努力打造一支( )、( )、甘于奉献、能拼善赢的干部队伍。,坚定纯洁；让党放心
28,填空题,22.坚持中国共产党领导，坚持社会主义制度，( )，是维护政治安全的根本任务。,确保党执政安全
29,填空题,23.互联网的核心技术是国之重器，( )是我们最大的“命门”，是我们最大的隐患。,核心技术受制于人
30,填空题,24.党的十九大报告中，( )被摆在打好三大攻坚战的首位。,防范化解重大风险
31,填空题,1.勾结外国，危害中华人民共和国的主权、领土完整和安全的，构成( )罪。,背叛国家
32,填空题,2.组织、策划、实施分裂国家、破坏国家统一的，构成( )罪。,分裂国家
33,填空题,3.组织、策划、实施颠覆国家政权、推翻社会主义制度的，构成( )罪。,颠覆国家政权
34,填空题,4.国家机关工作人员在履行公务期间，撤离岗位，叛逃境外或者在境外叛逃的，构成( )罪。,叛逃
35,填空题,5.为境外的机构、组织、人员窃取、刺探、收买、非法提供的( )，处五年以上十年以下有期徒刑；情节特别严重的，处十年以上有期徒刑或者无期徒刑；情节较轻的，处五年以下有期徒刑、拘役、管制或者剥夺政治权利。,国家秘密或者情报
36,填空题,6.破坏国家统一的( )，处五年以下有期徒刑、拘役、管制或者剥夺政治权利；或者罪行重大的( )，处五年以上有期徒刑。,煽动分裂国家；首要分子
37,填空题,7.掌握( )的国家工作人员叛逃境外或者在境外叛逃的，依照相关规定从重处罚。,国家秘密
38,填空题,8.( )恐怖活动组织的，处三年以上十年以下有期徒刑，并处罚金；( )，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，可以并处罚金。,积极参加；其他参加的
39,填空题,9.( )恐怖活动组织、实施恐怖活动的个人的，或者( )恐怖活动培训的，处五年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金。,资助；资助
40,填空题,10.以制作、散发宣扬( )、( )的图书、音频视频资料或者其他物品，处五年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金。,恐怖主义；极端主义
41,填空题,11.以( )、( )等方式强制他人在公共场所穿着、佩戴宣扬恐怖主义、极端主义服饰、标志的，处三年以下有期徒刑、拘役或者管制，并处罚金。,暴力；胁迫
42,填空题,12.明知是宣扬恐怖主义、极端主义的图书、音频视频资料或者其他物品而( )，情节严重的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。,非法持有
43,填空题,13.《刑法》第二百八十三条规定，非法生产、销售( )或者窃听、窃照专用器材的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；情节严重的，处三年以上七年以下有期徒刑，并处罚金。,专用间谍器材
44,填空题,14.单位非法生产、销售专用间谍器材或者窃听、窃照专用器材的，对单位判处( )，并对其直接负责的主管人员和其他直接责任人员，依照相应规定处罚。,罚金
45,填空题,15.组织、利用( )、( )或者利用迷信破坏国家法律、行政法规实施的，处三年以上七年以下有期徒刑，并处罚金。,会道门；邪教组织
46,填空题,16.为了保证刑法的正确实施，惩罚犯罪，保护人民，保障( )和社会公共安全，维护社会主义社会秩序，根据宪法，制定《中华人民共和国刑事诉讼法》。,国家安全
47,填空题,17.《中华人民共和国刑事诉讼法》第四条规定：( )依照法律规定，办理危害国家安全的刑事案件，行使与公安机关相同的职权。,国家安全机关
48,填空题,1.国家安全工作应当坚持( )。,总体国家安全观
49,填空题,2.国家安全工作以( )为宗旨，以( )为根本，以( )为基础，以军事、文化、社会安全为保障，以促进国际安全为依托，维护各领域国家安全，构建国家安全体系，走中国特色国家安全道路。,人民安全；政治安全；经济安全
50,填空题,4.( )为全民国家安全教育日。,4月15日
51,填空题,5.国家坚持( )的领导，维护中国特色社会主义制度，发展社会主义民主政治，健全社会主义法治，强化权力运行制约和监督机制，保障人民当家作主的各项权利。,中国共产党
52,填空题,6.全国人民代表大会依照( )规定，决定战争和和平的问题，行使宪法规定的涉及国家安全的其他职权。,宪法
53,填空题,7.( )根据全国人民代表大会的决定和全国人民代表大会常务委员会的决定，宣布进入紧急状态，宣布战争状态，发布动员令，行使宪法规定的涉及国家安全的其他职权。,中华人民共和国主席
54,填空题,8.( )根据宪法和法律，制定涉及国家安全的行政法规，规定有关行政措施，发布有关决定和命令。,国务院
55,填空题,9.( )、( )依法搜集涉及国家安全的情报信息，在国家安全工作中依法行使侦查、拘留、预审和执行逮捕以及法律规定的其他职权。,国家安全机关；公安机关
56,填空题,10.中央国家安全领导机构实行统分结合、协调高效的( )。,国家安全制度与工作机制
57,填空题,11.( )依照法律法规规定管理本行政区域内的国家安全工作。,地方各级人民政府
58,填空题,12.( )在国家安全工作和涉及国家安全活动中，应当严格依法履行职责，不得超越职权、滥用职权，不得侵犯个人和组织的合法权益。,国家机关及其工作人员
59,填空题,13.( )、( )、( )根据职责分工，依法搜集涉及国家安全的情报信息。,国家安全机关；公安机关；有关军事机关
60,填空题,14.国家建立( )的制度和机制，对影响或者可能影响国家安全的外商投资、特定物项和关键技术、网络信息技术产品和服务、涉及国家安全事项的建设项目，以及其他重大事项和活动，进行国家安全审查，有效预防和化解国家安全风险。,国家安全审查和监管
61,填空题,15.国家加强国家安全新闻宣传和舆论引导，通过多种形式开展国家安全宣传教育活动，将国家安全教育纳入( )和公务员教育培训体系，增强全民国家安全意识。,国民教育体系
62,填空题,16.( )不得有危害国家安全的行为，不得向危害国家安全的个人或者组织提供任何资助或者协助。,任何个人和组织
63,填空题,17.( )、( )、( )和( )应当对本单位的人员进行维护国家安全的教育，动员、组织本单位的人员防范、制止危害国家安全的行为。,机关；人民团体；企业事业组织；其他社会组织
64,填空题,18.公民和组织支持、协助国家安全工作的行为( )。,受法律保护
65,填空题,19.因支持、协助国家安全工作，本人或者其近亲属的人身安全面临危险的，可以向( )、( )请求予以保护。,公安机关；国家安全机关
66,填空题,1．《中华人民共和国反间谍法》由中华人民共和国第十二届全国人民代表大会常务委员会第十一次会议于( )年11月1日审议通过，由习近平签署第( )号主席令发布。,2014；16
67,填空题,2.为了防范、制止和惩治间谍行为，维护( )，根据( )，制定反间谍法。,国家安全；宪法
68,填空题,3.《反间谍法》的立法目的，是为了( )、( )和( )间谍行为，维护国家安全。,防范；制止；惩治
69,填空题,4.反间谍工作坚持( )，坚持公开工作与秘密工作相结合、专门工作与群众路线相结合、( )、( )的原则。,中央统一领导；积极防御；依法惩治
70,填空题,5.( )是反间谍工作的主管机关。( )、( )行政管理等其他有关部门和( )有关部门按照职责分工，密切配合，加强协调，依法做好有关工作。,国家安全机关；公安；保密；军队
71,填空题,6.中华人民共和国公民有维护国家的安全、( )和利益的义务，不得有危害国家的安全、( )和利益的行为。,荣誉；荣誉
72,填空题,7.国家安全机关在反间谍工作中必须依靠人民的支持，动员、组织人民( )、( )危害国家安全的间谍行为。,防范；制止
73,填空题,8.反间谍工作应当( )进行，( )，保障公民和组织的合法权益。,依法；尊重和保障人权
74,填空题,9.境外机构、组织、个人( )或者( )、( )他人实施的，或者境内机构、组织、个人与境外机构、组织、个人( )实施的危害中华人民共和国国家安全的间谍行为，都必须受到法律追究。,实施；指使；资助；相勾结
75,填空题,10.国家对支持、协助反间谍工作的组织和个人给予( )，对有重大贡献的给予( )。,保护；奖励
76,填空题,11.国家安全机关在反间谍工作中依法行使( )、( )、( )和( )以及法律规定的其他职权。,侦查；拘留；预审；执行逮捕
77,填空题,12.国家安全机关的工作人员依法执行任务时，依照规定出示相应证件，有权( )中国公民或者( )的身份证明，向有关组织和人员、询问有关情况。,查验；境外人员；调查
78,填空题,13.国家安全机关的工作人员依法执行任务时，依照规定出示相应证件，可以进入有关( )、( )；根据国家有关规定，( )，出示相应证件，可以进入( )进入的有关地区、场所、单位，( )或者( )有关的档案、资料、物品。,场所；单位；经过批准；限制；查阅；调取
79,填空题,14.国家安全机关的工作人员在依法执行( )任务的情况下，经出示相应证件，可以( )公共交通工具，遇交通阻碍时，( )。,紧急；优先乘坐；优先通行
80,填空题,15.国家安全机关因反间谍工作需要，按照国家有关规定，可以( )或者( )机关、团体、企业事业组织和个人的交通工具、通信工具、场地和建筑物，必要时，可以设置相关工作场所和( )、( )，任务完成后应当及时归还或者( )，并依照规定支付相应费用；造成损失的，应当( )。,优先使用；依法征用；设备；设施；恢复原状；补偿
81,填空题,16.国家安全机关因侦察间谍行为的需要，根据国家有关规定，经过严格的( )，可以采取( )。,批准手续；技术侦察措施
82,填空题,17.国家安全机关因反间谍工作需要，可以依照规定( )有关组织和个人的( )、( )等设备、设施。查验中发现存在危害国家安全情形的，国家安全机关应当责令其整改；拒绝整改或者整改后仍不符合要求的，可以予以( )、( )。对依法查封、扣押的设备、设施，在危害国家安全的情形消除后，国家安全机关应当。,查验；电子通信工具；器材；查封；扣押；及时解除查封、扣押
83,填空题,18.国家安全机关因反间谍工作需要，根据国家有关规定，可以( )海关、边防等检查机关对有关人员和资料、器材( )。有关检查机关应当予以协助。,提请；免检
84,填空题,19.国家安全机关对用于间谍行为的工具和其他财物，以及用于资助间谍行为的资金、场所、物资，经( )批准，可以依法( )。,设区的市级以上国家安全机关负责人；查封、扣押、冻结
85,填空题,20.国家安全机关根据反间谍工作需要，可以会同有关部门制定反间谍技术防范标准，指导有关部门落实( )措施，对存在隐患的部门，经过严格的批准手续，可以进行反间谍技术防范( )和( )。,反间谍技术防范；检查；检测
86,填空题,21.国家安全机关及其工作人员在工作中，应当严格依法办事，不得( )、( )，不得侵犯组织和个人的合法权益。,超越职权；滥用职权
87,填空题,22.国家安全机关及其工作人员依法履行反间谍工作职责获取的组织和个人的信息、材料，只能用于( )。对属于( )、( )和个人隐私的，应当保密。,反间谍工作；国家秘密；商业秘密
88,填空题,23.国家安全机关工作人员( )受法律保护。,依法执行职务
89,填空题,24.机关、团体和其他组织应当对本单位的人员进行维护国家安全的教育，( )、( )本单位的人员( )、( )间谍行为。,动员；组织；防范；制止
90,填空题,25.公民和组织应当为反间谍工作提供( )或者其他协助。因协助反间谍工作，本人或者其( )的人身安全面临危险的，可以向国家安全机关请求予以保护。国家安全机关应当会同有关部门依法采取( )措施。,便利；近亲属；保护
91,填空题,26.公民和组织发现间谍行为，应当及时向( )报告；向公安机关等其他国家机关、组织报告的，相关国家机关、组织应当立即( )处理。,国家安全机关；移送国家安全机关
92,填空题,27.在国家安全机关调查了解有关间谍行为的情况、收集有关( )时，有关组织和个人应当( )，不得拒绝。,证据；如实提供
93,填空题,28.根据《反间谍法》有关规定，任何公民和组织都应当保守所知悉的有关( )。,反间谍工作的国家秘密
94,填空题,29.任何个人和组织都不得( )属于国家秘密的文件、资料和其他物品。,非法持有
95,填空题,30.任何个人和组织都不得非法持有、使用( )的专用间谍器材。专用间谍器材由( )依照国家有关规定确认。,间谍活动特殊需要；国务院国家安全主管部门
96,填空题,31.任何个人和组织对国家安全机关及其工作人员超越职权、滥用职权和其他违法行为，都有权向上级国家安全机关或者有关部门( )、( )。,检举；控告
97,填空题,32.境外机构、组织、个人实施或者( )、( )他人实施，或者境内机构、组织、个人与境外机构、组织、个人( )实施间谍行为，构成犯罪的，依法追究刑事责任。实施间谍行为，有自首或者( )表现的，可以从轻、减轻或者免除处罚；有( )表现的，给予奖励。,指使；资助；相勾结；立功；重大立功
98,填空题,33.在境外( )或者( )参加敌对组织、间谍组织，从事危害中华人民共和国国家安全的活动，及时向( )如实说明情况，或者入境后直接或者通过所在单位及时向国家安全机关、公安机关如实说明情况，并有( )的，可以不予追究。,受胁迫；受诱骗；中华人民共和国驻外机构；悔改表现
99,填空题,34.明知他人有间谍犯罪行为，在国家安全机关向其调查有关情况、收集有关证据时，( )的，由其所在单位或者上级主管部门予以处分，或者由国家安全机关处( )日以下( )；构成犯罪的，依法追究刑事责任。,拒绝提供；十五；行政拘留
100,填空题,35.故意阻碍国家安全机关依法执行任务，未使用暴力、威胁方法，造成严重后果的，依法追究( )；情节较轻的，由国家安全机关处( )日以下( )。,刑事责任；十五；行政拘留
101,填空题,36.泄露有关反间谍工作的国家秘密的，由国家安全机关处( )日以下( )；构成犯罪的，依法追究刑事责任。,十五；行政拘留
102,填空题,37.对非法持有属于国家秘密的文件、资料和其他物品的，以及非法持有、使用专用间谍器材的，国家安全机关可以依法对其( )、( )、( )和其他有关的地方进行搜查；对其非法持有的属于国家秘密的文件、资料和其他物品，以及非法持有、使用的专用间谍器材予以( )。非法持有属于国家秘密的文件、资料和其他物品，构成犯罪的，依法追究刑事责任；尚不构成犯罪的，由国家安全机关予以( )或者处( )日以下( )。,人身；物品；住处；没收；警告；十五；行政拘留
103,填空题,38.( )、( )、变卖、损毁国家安全机关依法查封、扣押、冻结的财物的，或者明知是间谍活动的涉案财物而( )、转移、收购、( )或者以其他方法( )、( )的，由国家安全机关( )。,隐藏；转移；窝藏；代为销售；掩饰；隐瞒；追回
104,填空题,39.境外人员违反《中华人民共和国反间谍法》的，可以( )或者( )。,限期离境；驱逐出境
105,填空题,40.当事人对国家安全机关( )决定、( )决定不服的，可以自接到决定书之日起六十日内，向作出决定的机关申请复议；对复议决定不服的，可以自接到复议决定书之日起十五日内向人民法院提起( )。,行政处罚；行政强制措施；上一级国家安全机关；诉讼
106,填空题,41.国家安全机关工作人员( )、( )、徇私舞弊，构成犯罪的，或者有非法拘禁、刑讯逼供、( )、违反规定泄露( )、( )和等行为，构成犯罪的，依法追究刑事责任。,滥用职权；玩忽职守；暴力取证；国家秘密；商业秘密；个人隐私
107,填空题,42.国家安全机关、公安机关依照法律、行政法规和国家有关规定，履行防范、制止和惩治间谍行为以外的其他( )的职责，适用《中华人民共和国反间谍法》的有关规定。,危害国家安全行为
108,填空题,1.“间谍组织代理人”是指受间谍组织或者其成员的( )、( )、( )进行或者授意、指使他人进行危害中华人民共和国国家安全活动的人。,指使；委托；资助
109,填空题,2.国家安全机关执行反间谍工作紧急任务的车辆，可以配置( )和( )。,特别通行标志；警灯、警报器
110,填空题,3.国家安全机关工作人员依法执行反间谍工作任务时，应当出示( )或者( )。,国家安全部侦察证；其他相应证件
111,填空题,4.“非法持有属于国家秘密的文件、资料和其他物品”是指：( )某项国家秘密的人员携带、存放属于国家秘密的文件、资料和其他物品的；可以知悉某项国家秘密的人员，( )，私自携带、留存属于该项国家秘密的文件、资料和其他物品的。,不应知悉；未经办理手续
112,填空题,5.专用间谍器材的确认，由( )负责。,国务院国家安全主管部门
113,填空题,6.对涉嫌间谍行为的人员，国家安全机关可以决定其在一定期限内( )。对违反《反间谍法》的境外个人，国务院国家安全主管部门可以决定( )或者( )，并决定其不得入境的期限。被驱逐出境的境外个人，自被驱逐出境之日起年内不得入境。,不得出境；限期离境；驱逐出境；10
114,填空题,7.《反间谍法》所称“敌对组织”，是指敌视中华人民共和国( )和( )，危害国家安全的组织。,人民民主专政的政权；社会主义制度
115,填空题,8.《反间谍法》所称“境外机构、组织”包括境外机构、组织在中华人民共和国境内设立的( )和( )；所称“境外个人”包括居住在中华人民共和国境内不具有( )的人。,分支（代表）机构；分支组织；中华人民共和国国籍
116,填空题,9.间谍组织和( )由国务院国家安全主管部门确认。,间谍组织代理人
117,填空题,10.机关、团体和其他组织不履行《反间谍法》和本细则规定的安全防范义务，未按照要求整改或者未达到整改要求的，国家安全机关可以( )相关负责人，将约谈情况( )该单位( )，推动落实防范间谍行为和其他危害国家安全行为的责任。,约谈；通报；上级主管部门
118,填空题,11.背叛祖国、危害国家安全的犯罪嫌疑人，国家安全机关可以( )、( )。,通缉；追捕
119,填空题,1.国家情报工作坚持总体国家安全观，为国家重大决策提供( )，为防范和化解危害国家安全的风险提供( )。,情报参考；情报支持
120,填空题,2.( )对国家情报工作实行( )，制定国家情报工作方针政策，规划国家情报工作整体发展，建立健全国家情报工作协调机制，统筹协调各领域国家情报工作，研究决定国家情报工作中的重大事项。,中央国家安全领导机构；统一领导
121,填空题,3.( )统一领导和组织军队情报工作。,中央军事委员会
122,填空题,4.国家情报工作机构及其工作人员应当忠于( )，遵守( )，忠于职守，纪律严明，清正廉洁，无私奉献，坚决维护国家安全和利益。,国家和人民；宪法和法律
123,填空题,5.国家情报工作机构可以按照国家有关规定，与有关个人和组织建立( )，委托开展( )。,合作关系；相关工作
124,填空题,6.国家情报工作机构根据工作需要，依法使用必要的方式、手段和( )，在( )开展情报工作。,渠道；境内外
125,填空题,7.国家加强国家情报工作机构建设，对其机构设置、人员、编制、经费、资产实行( )，给予( )。,特殊管理；特殊保障
126,填空题,8.国家情报工作机构工作人员因执行任务，或者与国家情报工作机构建立合作关系的人员因协助国家情报工作，其本人或者近亲属( )受到威胁时，国家有关部门应当采取必要措施，予以( )。,人身安全；保护、营救
127,填空题,9.对为国家情报工作作出贡献并需要( )的人员，国家给予( )。,安置；妥善安置
128,填空题,10.对因开展国家情报工作或者支持、协助和配合国家情报工作导致伤残或者牺牲、死亡的人员，按照国家有关规定给予相应的( )。个人和组织因支持、协助和配合国家情报工作导致财产损失的，按照国家有关规定给予( )。,抚恤优待；补偿
129,填空题,11.国家情报工作机构应当对其工作人员遵守法律和纪律等情况进行( )，并依法采取必要措施，定期或者不定期进行( )。,监督；安全审查
130,填空题,12.冒充国家情报工作机构工作人员或者其他相关人员实施( )、( )、( )等行为的，依照《中华人民共和国治安管理处罚法》的规定处罚；构成犯罪的，依法追究刑事责任。,招摇撞骗；诈骗；敲诈勒索
131,填空题,1.国家反对和禁止一切形式的( )。任何人宣扬、煽动、教唆、帮助、实施恐怖主义，不分民族、种族、宗教信仰，一律依法追究法律责任。,恐怖主义
132,填空题,2.国家将( )纳入国家安全战略，综合运用政治、经济、法律、文化、教育、宣传、科技、外交、军事等手段，充分调动一切力量和资源，严密防范和严厉惩治恐怖活动，查处取缔一切恐怖活动组织，坚决反对和禁止恐怖主义和极端主义思想，最大限度预防、降低和消除恐怖主义危险和危害。,反恐怖主义
133,填空题,3.各职能部门在( )统一领导、协调下，建立联动配合机制，各司其职、密切协作，依法做好反恐怖主义工作。,反恐怖主义工作领导机构
134,填空题,4.网信、工业和信息化、( )、( )等主管部门发现含有恐怖主义内容的信息的，应当及时责令有关单位停止传输、删除相关信息，或者关闭相关网站、关停相关服务。,公安；国家安全
135,填空题,5.对恐怖活动组织、人员，由( )认定。,国家反恐怖主义工作领导机构
136,填空题,6.国家反对一切形式的以( )或者其他方法煽动仇恨、煽动歧视、鼓吹暴力等极端主义，消除恐怖主义的( )。,歪曲宗教教义；思想基础
137,填空题,7.铁路、公路、水上、航空的货运和邮政、快递等物流运营单位应当对客户身份进行查验，依照规定对运输、寄递物品进行( )或者( )。,安全检查；开封验视
138,填空题,8.国家反恐怖主义工作领导机构建立( )，实行跨部门、跨地区情报信息工作机制，统筹反恐怖主义情报信息工作。,国家反恐怖主义情报中心
139,填空题,9.国家反恐怖主义工作领导机构应当针对恐怖事件的规律、特点和可能造成的社会危害，分级、分类制定( )，具体规定恐怖事件应对处置的组织指挥体系和恐怖事件安全防范、应对处置程序以及事后社会秩序恢复等内容。,国家应对处置预案
140,填空题,10.恐怖事件发生后，反恐怖主义工作领导机构可以决定由有关部门和单位采取相应的应对处置措施，应对处置措施应当明确适用的( )和( )范围，并向社会公布。,时间；空间
141,填空题,1.根据维护国家安全、公共安全的需要，( )、( )可以限制外国人、外国机构在某些地区设立居住或者办公场所；对已经设立的，可以限期迁离。,公安机关；国家安全机关
142,填空题,2.境外非政府组织在中国境内开展活动，应当依法登记设立( )；未登记设立但需要在中国境内开展临时活动的，应当依法( )。,代表机构；备案
143,填空题,3.国家制定并不断完善( )，明确保障网络安全的基本要求和主要目标，提出重点领域的网络安全政策、工作任务和措施。,网络安全战略
144,填空题,4.网络产品、服务的提供者发现其网络产品、服务存在安全缺陷、漏洞等风险时，应当立即采取( )，按照规定及时告知用户并向有关主管部门报告。,补救措施
145,填空题,5.网络运营者为用户办理网络接入、域名注册服务，办理固定电话、移动电话等入网手续，或者为用户提供信息发布、即时通讯等服务，在与用户签订协议或者确认提供服务时，应当要求用户提供( )。,真实身份信息
146,填空题,6.国家秘密是指关系国家的( )和( )，依照法定程序确定，在一定时间内只限一定范围的人员知悉的事项。,安全；利益
147,填空题,7.保守国家秘密是我国公民的一项( )。,基本义务
148,填空题,8.涉密人员离岗离职实行( )。涉密人员在一定期限内，应当按照规定履行保密义务，不得违反规定就业，不得以任何方式泄露国家秘密。,脱密期管理
149,填空题,9.国家建立外商投资安全审查制度，对影响或者可能影响( )的外商投资进行安全审查。,国家安全
150,填空题,10.外商投资企业是指全部或者部分由( )投资，依照中国法律在中国境内经登记注册设立的企业。,外国投资者
151,填空题,11.国家对军事设施实行( )、( )的方针。,分类保护、确保重点
152,填空题,12.( )是国家生存与发展的安全保障。,国防
153,填空题,13.中华人民共和国的武装力量受( )领导。,中国共产党
154,填空题,14.( )统一领导边防、海防和空防的防卫工作。,中央军事委员会
155,填空题,15.( )的国防教育是全民国防教育的基础。,学校
156,填空题,16.国家采取多种形式加强密码安全教育，将密码安全教育纳入( )体系和( )体系，增强公民、法人和其他组织的密码安全意识。,国民教育；公务员教育培训
157,填空题,1、我国宗教团体和宗教事务不受外国势力支配，这是( )确定的基本原则。,宪法
158,填空题,2、《宗教事务条例》中规范的宗教出版物包括宗教( )和公开发行的宗教出版物两类。,内部资料性出版物
159,填空题,3、宗教活动场所分成寺观教堂与( )。,其他固定宗教活动处所
160,填空题,4、设立宗教活动场所的申请主体是( )。,宗教团体
161,填空题,5、宗教信仰自由政策的核心是( )。,尊重和保护公民的宗教信仰自由的权利
162,填空题,6、我国社会主义法制建设的基本要求是“( )”。,有法可依、有法必依、执法必严、违法必究
163,填空题,7、( )是培养爱国宗教人才的重要基地，是正确阐释宗教教义的重要阵地，是培训现有宗教教职人员的重要平台。,宗教院校
164,填空题,8、任何公民享有宪法和法律规定的( )，同时必须履行宪法和法律规定的( )。,权利；义务
165,填空题,9、国家实行宗教和( )相分离、宗教和( )相分离原则。,政权；教育
166,填空题,10、宗教教职人员备案和宗教教职人员担任宗教活动场所主要教职备案，是程序性质的备案，同时又具有( )性。,强制
167,填空题,11、宗教团体应当将其认定的宗教教职人员自认定之日起( )日内，报相应的人民政府宗教事务部门备案。,20
168,填空题,12、作为宗教界必须遵循的基本行为准则，“四个维护”是指：必须坚持( )、( )、( )、( )的原则。,维护法律尊严；维护人民利益；维护民族团结；维护国家统一
169,填空题,13、在我国，宗教团体、宗教活动场所属于( )社会组织。,非营利性
170,填空题,14、按照《宗教活动场所财务监督管理办法》规定，宗教活动场所的财务收支情况和接受、使用捐赠情况，要以适当方式向( )公布。,信教公民
171,填空题,15、加强爱国宗教力量培养有三项主要工作：一是支持宗教团体加强自身建设；二是加强爱国宗教教职人员培养工作；三是( )。,加强宗教院校建设
172,填空题,16、( )是国家的根本法。通常规定一个国家的社会制度、国家制度、国家机构、公民的基本权利和义务等。,宪法
173,填空题,17、《宗教事务条例》规定，宗教团体、宗教活动场所应当执行国家的会计、财务、税务管理制度，依照国家规定享受( )。,税收减免优惠
174,填空题,18、根据《宗教教职人员备案办法》之规定，宗教教职人员在宗教教务活动中违反法律、法规或者规章的，情节严重的，由( )部门建议有关的宗教团体取消其宗教教职人员身份。,宗教事务
175,填空题,76、( )是总体国家安全观的第一要义。,人民安全
176,填空题,77、国家安全机关受理公民和组织举报电话为( )。,12339
177,填空题,78、( )年，我国已经成为世界第二经济体。,2010
178,填空题,79、每年( )为全民国家安全教育日。,4月15日
179,填空题,80、习近平总书记针对国际安全问题指出：“既重视自身安全，又重视共同安全，打造( )，推动各方朝着互利互惠、共同安全的目标相向而行。”,命运共同体
180,填空题,81、( )违反治安管理的，不予处罚。,不满十四周岁的人
181,填空题,82、根据《中华人民共和国劳动法》的规定，劳动合同可以约定试用期，但试用期最长不得超过( )。,6个月。
182,填空题,83、依法治校是党的( )提出的。,十六大。
183,填空题,84、治安管理处罚必须以( )为依据。,事实
184,填空题,85、根据我国刑法规定，盗窃罪最高可以被判处：( ),无期徒刑
185,填空题,86、中国共产党领导的多党合作和政治协商制度是一项具有中国特色的( )。,基本政治制度
186,填空题,87、我国《反恐法》的全称是( )。,中华人民共和国反恐怖主义法
187,填空题,88、2020年5月8日，十三届全国人大三次会议表决通过了《中华人民共和国民法典》，自( )起施行,2021年1月1日
188,填空题,89、( )和社会稳定是改革发展的前提。,国家安全
189,填空题,90、国家秘密的密级分为( )、( )、( )。,绝密、机密、秘密。
190,填空题,1、最重要和最良性的学习动力是学习( )和远大的理想。,兴趣
191,填空题,2、情绪是人或动物对事物的( )和体验。,态度
